age,"[211, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'LoversComplaint', 'RapeOfLucrece', 'VenusAndAdonis', 'elegy', 'sonnetIII', 'sonnetVII', 'sonnetXI', 'sonnetXVII', 'sonnetXXXII', 'sonnetLXII', 'sonnetLXIV', 'sonnetLXXV', 'sonnetCIV', 'sonnetCVII', 'sonnetCVIII', 'sonnetCXXVII', 'sonnetCXXXVIII']"
aged,"[31, 'allswell', 'cymbeline', 'lll', 'measure', 'pericles', 'tempest', 'two_gentlemen', 'winters_tale', '1henryvi', '2henryvi', 'henryviii', 'richardii', 'richardiii', 'coriolanus', 'lear', 'timon', 'titus', 'RapeOfLucrece']"
ah,"[173, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'merry_wives', 'midsummer', 'much_ado', 'taming_shrew', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'hamlet', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'LoversComplaint', 'sonnetIX', 'sonnetXXXIV', 'sonnetXLIV', 'sonnetLXVII', 'sonnetXC', 'sonnetCIV', 'sonnetCXXXIX']"
aid,"[64, 'allswell', 'comedy_errors', 'cymbeline', 'merry_wives', 'pericles', 'tempest', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'macbeth', 'timon', 'titus', 'RapeOfLucrece', 'VenusAndAdonis', 'sonnetLXXIX', 'sonnetLXXXVI']"
aiding,"[2, 'allswell', 'richardiii']"
ail,"[1, 'allswell']"
aim,"[46, 'allswell', 'asyoulikeit', 'comedy_errors', 'merry_wives', 'merchant', 'midsummer', 'much_ado', 'pericles', 'troilus_cressida', 'two_gentlemen', '2henryiv', 'henryv', '1henryvi', '3henryvi', 'henryviii', 'john', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'macbeth', 'othello', 'titus', 'LoversComplaint', 'RapeOfLucrece', 'VenusAndAdonis']"
air,"[203, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merchant', 'midsummer', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'RapeOfLucrece', 'VenusAndAdonis', 'elegy', 'sonnetXXI', 'sonnetXLV', 'sonnetLXX']"
alarum,"[83, 'allswell', 'troilus_cressida', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'richardiii', 'cleopatra', 'coriolanus', 'julius_caesar', 'lear', 'macbeth', 'othello', 'RapeOfLucrece']"
alas,"[231, 'allswell', 'asyoulikeit', 'comedy_errors', 'cymbeline', 'lll', 'measure', 'merry_wives', 'merchant', 'much_ado', 'pericles', 'taming_shrew', 'tempest', 'troilus_cressida', 'twelfth_night', 'two_gentlemen', 'winters_tale', '1henryiv', '2henryiv', 'henryv', '1henryvi', '2henryvi', '3henryvi', 'henryviii', 'john', 'richardii', 'richardiii', 'cleopatra', 'coriolanus', 'hamlet', 'julius_caesar', 'lear', 'macbeth', 'othello', 'romeo_juliet', 'timon', 'titus', 'RapeOfLucrece', 'VenusAndAdonis', 'sonnetCX', 'sonnetCXV']"
